OP_PROFIT_LOSS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER
458187,DL,Delta Air Lines Inc.,A,2016,3
459876.62,UA,United Air Lines Inc.,D,2014,2
464326,DL,Delta Air Lines Inc.,D,2012,3
471293,DL,Delta Air Lines Inc.,A,2014,3
474636,DL,Delta Air Lines Inc.,A,2019,2
489134,WN,Southwest Airlines Co.,D,2019,1
489262,AA,American Airlines Inc.,D,2014,2
490975,DL,Delta Air Lines Inc.,A,2016,2
494979.05,AA,American Airlines Inc.,D,2015,1
498143.7,UA,United Air Lines Inc.,D,2018,4
499003,DL,Delta Air Lines Inc.,A,2018,3
509964,DL,Delta Air Lines Inc.,A,2019,3
518994.25,UA,United Air Lines Inc.,D,2014,3
528939.17,UA,United Air Lines Inc.,A,2015,3
531800,DL,Delta Air Lines Inc.,A,2012,3
540364.81,UA,United Air Lines Inc.,D,2017,4
544480,DL,Delta Air Lines Inc.,A,2013,3
548872,DL,Delta Air Lines Inc.,D,2012,1
551728.03,AA,American Airlines Inc.,D,2018,4
555876,DL,Delta Air Lines Inc.,D,2018,1
562140,DL,Delta Air Lines Inc.,A,2015,2
567539,DL,Delta Air Lines Inc.,D,2013,2
580840,DL,Delta Air Lines Inc.,D,2013,4
581527.82,AA,American Airlines Inc.,D,2019,3
583308,DL,Delta Air Lines Inc.,A,2015,3
585191.57,UA,United Air Lines Inc.,D,2016,1
600095,WN,Southwest Airlines Co.,D,2018,1
607774,WN,Southwest Airlines Co.,D,2014,3
613312,WN,Southwest Airlines Co.,D,2014,4
617061,DL,Delta Air Lines Inc.,D,2019,1
631720.29,AA,American Airlines Inc.,D,2016,1
640182.49,UA,United Air Lines Inc.,D,2015,4
641417.93,AA,American Airlines Inc.,D,2019,4
644137,WN,Southwest Airlines Co.,D,2017,1
647386,WN,Southwest Airlines Co.,D,2019,4
651868.67,UA,United Air Lines Inc.,D,2019,4
671079.28,AA,American Airlines Inc.,D,2017,1
681863,WN,Southwest Airlines Co.,D,2016,3
696688,DL,Delta Air Lines Inc.,D,2012,2
708614.14,UA,United Air Lines Inc.,D,2018,3
728538.98,UA,United Air Lines Inc.,D,2017,3
745318.97,UA,United Air Lines Inc.,D,2016,4
750998,DL,Delta Air Lines Inc.,D,2011,4
752340,DL,Delta Air Lines Inc.,D,2016,4
755559,WN,Southwest Airlines Co.,D,2017,4
759872,DL,Delta Air Lines Inc.,D,2017,1
765449,WN,Southwest Airlines Co.,D,2014,2
766446.41,UA,United Air Lines Inc.,D,2018,2
767163,DL,Delta Air Lines Inc.,D,2011,3
769791,WN,Southwest Airlines Co.,D,2015,1
773112.72,AA,American Airlines Inc.,D,2017,4
777737,DL,Delta Air Lines Inc.,D,2010,2
777939,WN,Southwest Airlines Co.,D,2018,3
778278.51,AA,American Airlines Inc.,D,2015,2
779710,DL,Delta Air Lines Inc.,D,2018,4
780724,DL,Delta Air Lines Inc.,D,2014,3
793768.47,AA,American Airlines Inc.,D,2022,3
799187,WN,Southwest Airlines Co.,D,2018,4
